,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
129,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.83,"[-0.3728, 0.2403, 0.1101]","[None, None, None]",2009
130,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.49,"[-0.108, -0.5134, -0.0273, -0.0153, -0.0844]","[None, None, None, None, None]",2010
131,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.56,"[0.1607, 0.0409, 0.0165, -0.1548]","[None, None, None, None]",2011
132,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.41,"[-0.0852, 0.0581]","[None, None]",2012
133,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.82,"[-0.2176, -0.3581, -0.0092]","[None, None, None]",2013
134,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.15,"[0.1774, -0.644, -0.1415]","[None, None, None]",2014
135,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.9,"[0.0837, -0.7814, -0.399, -0.2307]","[None, None, None, None]",2015
136,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.22,"[-0.1882, -1.499, -1.5333]","[None, None, None]",2016
137,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.37,"[0.2045, -0.1367]","[None, None]",2017
138,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.52,"[-0.0968, -0.4653, -0.54, -0.1699]","[None, None, None, None]",2018
139,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.83,"[0.0629, 0.0182, -0.0174]","[None, None, None]",2019
140,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.76,"[-0.3989, -0.494, -0.6647, -0.5724]","[None, None, None, None]",2000
141,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,1,64,0,4.21,[-0.2697],[None],2001
142,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.64,"[-0.4456, -1.3682]","[None, None]",2002
143,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.96,"[-2.0983, -1.0788, -0.803]","[None, None, None]",2003
144,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.73,"[0.0527, -1.2856, -0.9475, -0.9608]","[None, None, None, None]",2004
145,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.9,"[-0.7107, -1.2732, -0.7544]","[None, None, None]",2005
146,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,18.14,"[0.1122, -0.6432, -0.6442, -0.8966]","[None, None, None, None]",2006
147,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,23.25,"[-0.0852, -1.4677, -0.6118, -0.4151, -0.5732]","[None, None, None, None, None]",2007
