,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
51,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2011,0,2,0,3,10.06,144,0,"[0.6693, 0.6775, 0.6576]","[None, None, None]"
52,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2012,0,2,0,2,6.5,96,0,"[0.6544, 0.6963]","[None, None]"
53,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2013,0,2,0,6,21.01,288,0,"[0.5965, 0.7133, 0.7245, 0.7336, 0.7316, 0.7401]","[None, None, None, None, None, None]"
54,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2014,0,2,0,2,6.43,96,0,"[0.626, 0.5483]","[None, None]"
55,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2015,0,2,0,1,3.14,48,0,[0.6314],[None]
56,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2016,0,2,0,5,17.13,240,0,"[0.7034, 0.7209, 0.7124, 0.7131, 0.6968]","[None, None, None, None, None]"
57,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2017,0,2,0,4,13.4,192,0,"[0.5937, 0.7305, 0.7257, 0.743]","[None, None, None, None]"
58,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2018,0,2,0,1,3.13,48,0,[0.5989],[None]
59,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2019,0,2,0,3,9.86,144,0,"[0.5678, 0.7066, 0.7595]","[None, None, None]"
60,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2000,0,2,0,4,13.62,192,0,"[0.7102, 0.7481, 0.744, 0.7063]","[None, None, None, None]"
61,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2001,0,2,0,8,30.2,384,0,"[0.569, 0.6954, 0.7138, 0.7669, 0.7522, 0.7484, 0.764, 0.7512]","[None, None, None, None, None, None, None, None]"
62,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2002,0,2,0,3,10.21,144,0,"[0.688, 0.6996, 0.7211]","[None, None, None]"
63,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2003,0,2,0,3,10.22,144,0,"[0.6384, 0.6388, 0.7008]","[None, None, None]"
64,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2004,0,2,0,3,10.23,144,0,"[0.6579, 0.6616, 0.7114]","[None, None, None]"
65,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2005,0,2,0,2,6.68,96,0,"[0.5983, 0.6582]","[None, None]"
66,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2006,0,2,0,4,13.88,192,0,"[0.6139, 0.6795, 0.7031, 0.7135]","[None, None, None, None]"
67,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2007,0,2,0,5,17.73,240,0,"[0.6239, 0.6945, 0.6739, 0.681, 0.6911]","[None, None, None, None, None]"
68,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2008,0,2,0,7,25.87,336,0,"[0.4539, 0.6664, 0.7368, 0.7416, 0.739, 0.7246, 0.7182]","[None, None, None, None, None, None, None]"
69,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2009,0,2,0,6,21.78,288,0,"[0.6799, 0.6668, 0.6988, 0.725, 0.7314, 0.7276]","[None, None, None, None, None, None]"
70,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2010,0,2,0,5,17.74,240,0,"[0.6737, 0.7197, 0.7238, 0.7137, 0.6522]","[None, None, None, None, None]"
