epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,S,neigh_mean_test,rand_mean_test,neigh_best_mean_test,rand_best_mean_test,win_rate_mean,win_rate_best,avg_gain_mean_test,avg_gain_best_test,seed_mean_train
1000,5e-05,0.0,0.01,1.0,0.1,0.1,184.0,8.157532691955566,5.903433799743652,8.16489315032959,8.399444580078125,1.0,0.31521739130434784,2.254098892211914,-0.23455075919628143,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.1,0.2,184.0,8.193199157714844,5.903433799743652,8.194623947143555,8.399444580078125,1.0,0.32065217391304346,2.2897653579711914,-0.20482026040554047,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.0,0.0,184.0,8.133495330810547,5.903433799743652,8.146188735961914,8.399444580078125,0.9945652173913043,0.3423913043478261,2.2300617694854736,-0.2532549202442169,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.0,0.01,184.0,8.150230407714844,5.903433799743652,8.161255836486816,8.399444580078125,0.9945652173913043,0.3641304347826087,2.246795892715454,-0.23818787932395935,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.0,0.1,184.0,8.173885345458984,5.903433799743652,8.1759672164917,8.399444580078125,1.0,0.33695652173913043,2.270451784133911,-0.22347736358642578,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.0,0.2,184.0,8.172447204589844,5.903433799743652,8.177680969238281,8.399444580078125,1.0,0.33152173913043476,2.2690138816833496,-0.22176294028759003,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.01,0.0,184.0,8.130931854248047,5.903433799743652,8.150074005126953,8.399444580078125,0.9945652173913043,0.3641304347826087,2.2274982929229736,-0.24936999380588531,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.01,0.01,184.0,8.139015197753906,5.903433799743652,8.15976619720459,8.399444580078125,0.9945652173913043,0.358695652173913,2.2355806827545166,-0.239678293466568,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.01,0.1,184.0,8.178070068359375,5.903433799743652,8.18019962310791,8.399444580078125,1.0,0.34782608695652173,2.274636745452881,-0.21924437582492828,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.01,0.2,184.0,8.174101829528809,5.903433799743652,8.176916122436523,8.399444580078125,1.0,0.32065217391304346,2.2706680297851562,-0.2225283682346344,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.1,0.0,184.0,8.116089820861816,5.903433799743652,8.128986358642578,8.399444580078125,0.9945652173913043,0.3532608695652174,2.212656021118164,-0.2704577147960663,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.1,0.01,184.0,8.12720012664795,5.903433799743652,8.14111328125,8.399444580078125,0.9945652173913043,0.34782608695652173,2.2237660884857178,-0.2583312690258026,8.242144584655762
