epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.0,0.5,0.0,0.01,0.2,21.0,2.9709,2.9378,0.8944,0.9909,10.2381,10.0
1000,5e-05,0.0,0.5,0.0,0.1,0.0,200.0,2.0355,2.1504,0.3592,0.9182,7.76,8.0
1000,5e-05,0.0,0.5,0.0,0.1,0.01,200.0,2.1639,2.2238,0.3767,0.9318,7.685,8.0
1000,5e-05,0.0,0.5,0.0,0.1,0.1,3.0,3.4558,3.4558,1.0,1.0,9.0,9.0
1000,5e-05,0.0,0.5,0.0,0.1,0.2,32.0,2.9378,2.9253,0.7389,0.9909,10.3125,11.0
1000,5e-05,0.0,0.5,0.1,0.0,0.0,200.0,2.074,2.0851,0.341,0.9273,7.855,8.0
1000,5e-05,0.0,0.5,0.1,0.0,0.01,200.0,2.0083,1.8997,0.3438,0.9091,7.81,8.0
1000,5e-05,0.0,0.5,0.1,0.0,0.1,5.0,2.8827,3.4427,1.0,1.0,8.6,9.0
1000,5e-05,0.0,0.5,0.1,0.0,0.2,17.0,3.0101,3.0868,0.8706,0.9909,9.6471,10.0
1000,5e-05,0.0,0.5,0.1,0.01,0.0,200.0,2.1837,2.2674,0.3743,0.9364,7.93,8.0
1000,5e-05,0.0,0.5,0.1,0.01,0.01,200.0,2.0954,2.0604,0.3726,0.9091,7.655,8.0
1000,5e-05,0.0,0.5,0.1,0.01,0.1,9.0,2.4345,2.1876,0.1495,0.9909,8.3333,9.0
1000,5e-05,0.0,0.5,0.1,0.01,0.2,33.0,2.8368,2.8231,0.7421,0.9909,10.1212,10.0
1000,5e-05,0.0,0.5,0.1,0.1,0.0,200.0,2.0584,1.9847,0.3334,0.9091,7.74,8.0
1000,5e-05,0.0,0.5,0.1,0.1,0.01,200.0,1.9833,1.8407,0.3466,0.9091,7.825,8.0
1000,5e-05,0.0,0.5,0.1,0.1,0.1,3.0,3.4057,3.4057,0.9909,0.9909,10.0,10.0
1000,5e-05,0.0,0.5,0.1,0.1,0.2,28.0,3.1723,3.1245,0.7052,0.9909,10.2143,10.0
1000,5e-05,0.0,0.5,0.5,0.0,0.0,200.0,2.0017,2.0367,0.3405,0.9045,7.65,8.0
1000,5e-05,0.0,0.5,0.5,0.0,0.01,200.0,1.9966,1.8784,0.3572,0.8727,7.955,8.0
1000,5e-05,0.0,0.5,0.5,0.0,0.1,3.0,3.3722,3.3722,1.0,1.0,11.0,11.0
1000,5e-05,0.0,0.5,0.5,0.0,0.2,24.0,2.7028,2.7011,0.9061,0.9909,9.9583,10.0
1000,5e-05,0.0,0.5,0.5,0.01,0.0,200.0,1.9482,1.8886,0.3466,0.9045,7.815,8.0
1000,5e-05,0.0,0.5,0.5,0.01,0.01,200.0,2.0762,2.0727,0.4097,0.9227,7.915,8.0
1000,5e-05,0.0,0.5,0.5,0.01,0.1,5.0,3.5083,3.5083,0.6364,0.6364,8.0,8.0
1000,5e-05,0.0,0.5,0.5,0.01,0.2,17.0,2.9174,3.0656,0.8738,1.0,9.5882,10.0
1000,5e-05,0.0,0.5,0.5,0.1,0.0,200.0,2.0754,2.1619,0.345,0.9136,7.995,8.0
1000,5e-05,0.0,0.5,0.5,0.1,0.01,200.0,2.1185,2.0344,0.3622,0.9182,8.015,8.0
1000,5e-05,0.0,0.5,0.5,0.1,0.1,3.0,3.4427,3.4427,1.0,1.0,9.0,9.0
1000,5e-05,0.0,0.5,0.5,0.1,0.2,17.0,2.8212,2.8552,0.869,0.9909,9.6471,10.0
1000,5e-05,0.0,0.5,1.0,0.0,0.0,200.0,2.2051,2.4418,0.4018,0.9727,8.28,8.0
1000,5e-05,0.0,0.5,1.0,0.0,0.01,200.0,2.1562,2.2954,0.3801,0.9364,8.07,8.0
1000,5e-05,0.0,0.5,1.0,0.0,0.1,3.0,3.3591,3.3591,1.0,1.0,10.0,10.0
1000,5e-05,0.0,0.5,1.0,0.0,0.2,46.0,2.8886,2.8684,0.566,0.9909,9.8696,10.0
1000,5e-05,0.0,0.5,1.0,0.01,0.0,200.0,2.2305,2.3309,0.3555,0.9727,8.125,8.0
1000,5e-05,0.0,0.5,1.0,0.01,0.01,200.0,2.1402,2.2605,0.3633,0.9273,7.915,8.0
1000,5e-05,0.0,0.5,1.0,0.01,0.1,3.0,3.4893,3.4893,0.9909,0.9909,10.0,10.0
1000,5e-05,0.0,0.5,1.0,0.01,0.2,44.0,2.8151,2.8577,0.6395,0.9955,9.9318,10.0
1000,5e-05,0.0,0.5,1.0,0.1,0.0,200.0,2.2307,2.4019,0.3929,0.9727,8.12,8.0
1000,5e-05,0.0,0.5,1.0,0.1,0.01,200.0,2.2494,2.498,0.3987,0.9636,8.055,8.0
1000,5e-05,0.0,0.5,1.0,0.1,0.1,8.0,2.3323,1.7831,-0.1,-0.55,8.625,8.0
1000,5e-05,0.0,0.5,1.0,0.1,0.2,32.0,2.8776,2.8781,0.683,0.9909,10.0625,10.0
1000,5e-05,0.01,0.01,0.0,0.0,0.0,200.0,1.9179,1.8125,-0.0594,-0.4864,5.55,5.5
1000,5e-05,0.01,0.01,0.0,0.0,0.01,200.0,1.8365,1.6967,-0.0378,-0.3273,5.64,6.0
1000,5e-05,0.01,0.01,0.0,0.0,0.1,200.0,1.5429,1.4689,0.0011,-0.1409,6.165,6.0
1000,5e-05,0.01,0.01,0.0,0.0,0.2,146.0,1.3903,1.1447,-0.0073,-0.2455,6.2877,6.0
1000,5e-05,0.01,0.01,0.0,0.01,0.0,200.0,1.9533,1.7616,-0.0516,-0.4,5.595,6.0
1000,5e-05,0.01,0.01,0.0,0.01,0.01,200.0,1.7261,1.6156,0.0034,-0.2318,5.6,6.0
1000,5e-05,0.01,0.01,0.0,0.01,0.1,200.0,1.5239,1.3169,-0.0553,-0.3818,6.21,6.0
1000,5e-05,0.01,0.01,0.0,0.01,0.2,179.0,1.7638,1.3387,-0.0277,-0.0455,6.4134,6.0
1000,5e-05,0.01,0.01,0.0,0.1,0.0,200.0,2.0586,1.8477,-0.0475,-0.3136,5.67,6.0
1000,5e-05,0.01,0.01,0.0,0.1,0.01,200.0,1.7029,1.6811,-0.0232,-0.3091,5.64,6.0
1000,5e-05,0.01,0.01,0.0,0.1,0.1,200.0,1.562,1.3662,-0.035,-0.3318,6.375,6.0
1000,5e-05,0.01,0.01,0.0,0.1,0.2,170.0,1.5325,1.169,-0.0199,-0.1545,6.5059,6.0
1000,5e-05,0.01,0.01,0.1,0.0,0.0,200.0,1.8277,1.509,-0.0812,-0.5,5.78,6.0
1000,5e-05,0.01,0.01,0.1,0.0,0.01,200.0,1.8953,1.6873,-0.0817,-0.4591,6.0,6.0
1000,5e-05,0.01,0.01,0.1,0.0,0.1,200.0,1.998,1.7253,-0.12,-0.4455,6.54,7.0
1000,5e-05,0.01,0.01,0.1,0.0,0.2,156.0,1.8423,1.5323,0.0219,0.2364,6.6603,6.0
1000,5e-05,0.01,0.01,0.1,0.01,0.0,200.0,1.8755,1.5996,-0.0715,-0.5,5.855,6.0
1000,5e-05,0.01,0.01,0.1,0.01,0.01,200.0,1.8002,1.4591,-0.0591,-0.4636,5.93,6.0
1000,5e-05,0.01,0.01,0.1,0.01,0.1,200.0,2.0923,1.8248,-0.1849,-0.4864,6.645,7.0
1000,5e-05,0.01,0.01,0.1,0.01,0.2,138.0,1.8059,1.4508,-0.081,-0.2273,6.5435,6.0
1000,5e-05,0.01,0.01,0.1,0.1,0.0,200.0,1.8853,1.6076,-0.0876,-0.5,5.91,6.0
