epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.0,0.1,0.1,0.01,0.0,200.0,1.7443,1.7256,-0.0276,-0.1455,6.28,6.0
1000,5e-05,0.0,0.1,0.1,0.01,0.01,200.0,1.7747,1.7775,-0.0093,-0.1455,6.385,6.0
1000,5e-05,0.0,0.1,0.1,0.01,0.1,200.0,2.0075,2.0916,0.0162,0.0045,7.785,8.0
1000,5e-05,0.0,0.1,0.1,0.01,0.2,200.0,2.1027,2.1693,0.022,0.2,8.09,8.0
1000,5e-05,0.0,0.1,0.1,0.1,0.0,200.0,1.8198,1.7102,0.0017,-0.0136,6.385,6.0
1000,5e-05,0.0,0.1,0.1,0.1,0.01,200.0,1.6548,1.5627,-0.0549,-0.2364,6.26,6.0
1000,5e-05,0.0,0.1,0.1,0.1,0.1,200.0,2.0909,2.1669,0.0438,0.6091,7.82,8.0
1000,5e-05,0.0,0.1,0.1,0.1,0.2,200.0,2.116,2.1533,0.0296,0.85,8.275,8.0
1000,5e-05,0.0,0.1,0.5,0.0,0.0,200.0,1.7127,1.7771,0.0065,-0.0182,6.23,6.0
1000,5e-05,0.0,0.1,0.5,0.0,0.01,200.0,1.6694,1.7117,0.032,0.2409,6.11,6.0
1000,5e-05,0.0,0.1,0.5,0.0,0.1,200.0,1.9774,2.0651,0.0412,0.5591,7.685,8.0
1000,5e-05,0.0,0.1,0.5,0.0,0.2,200.0,2.0279,2.0734,0.0537,0.8818,8.115,8.0
1000,5e-05,0.0,0.1,0.5,0.01,0.0,200.0,1.7065,1.7401,0.0622,0.0909,6.08,6.0
1000,5e-05,0.0,0.1,0.5,0.01,0.01,200.0,1.6592,1.6066,-0.0161,-0.0864,6.28,6.0
1000,5e-05,0.0,0.1,0.5,0.01,0.1,200.0,1.9409,1.9847,0.042,0.6091,7.79,8.0
1000,5e-05,0.0,0.1,0.5,0.01,0.2,200.0,2.0122,1.985,0.0322,0.7682,8.16,8.0
1000,5e-05,0.0,0.1,0.5,0.1,0.0,200.0,1.7358,1.7172,0.0914,0.2409,5.995,6.0
1000,5e-05,0.0,0.1,0.5,0.1,0.01,200.0,1.6922,1.7642,-0.0272,-0.3045,6.03,6.0
1000,5e-05,0.0,0.1,0.5,0.1,0.1,200.0,1.9438,1.9522,0.0812,0.7,7.675,8.0
1000,5e-05,0.0,0.1,0.5,0.1,0.2,200.0,1.9978,1.9434,0.0237,0.7773,8.115,8.0
1000,5e-05,0.0,0.1,1.0,0.0,0.0,200.0,1.7154,1.7344,-0.0372,-0.2364,6.305,6.0
1000,5e-05,0.0,0.1,1.0,0.0,0.01,200.0,1.6761,1.6346,0.0311,0.1909,6.22,6.0
1000,5e-05,0.0,0.1,1.0,0.0,0.1,200.0,2.0438,2.0433,0.0789,0.7727,7.79,8.0
1000,5e-05,0.0,0.1,1.0,0.0,0.2,200.0,2.0319,2.0296,0.0813,0.9091,8.39,8.5
1000,5e-05,0.0,0.1,1.0,0.01,0.0,200.0,1.7066,1.7407,-0.0017,-0.0318,6.16,6.0
1000,5e-05,0.0,0.1,1.0,0.01,0.01,200.0,1.6489,1.6289,0.0194,-0.0955,5.895,6.0
1000,5e-05,0.0,0.1,1.0,0.01,0.1,200.0,2.0507,2.0106,0.0693,0.7455,8.01,8.0
1000,5e-05,0.0,0.1,1.0,0.01,0.2,200.0,2.0324,2.0681,0.058,0.9,8.31,8.0
1000,5e-05,0.0,0.1,1.0,0.1,0.0,200.0,1.7375,1.7335,0.0001,-0.1045,6.1,6.0
1000,5e-05,0.0,0.1,1.0,0.1,0.01,200.0,1.7097,1.698,0.0038,-0.0364,6.03,6.0
1000,5e-05,0.0,0.1,1.0,0.1,0.1,200.0,1.9971,1.999,0.0654,0.7273,7.825,8.0
1000,5e-05,0.0,0.1,1.0,0.1,0.2,200.0,2.0025,1.9904,0.0715,0.9136,8.385,8.5
1000,5e-05,0.0,0.5,0.0,0.0,0.0,200.0,1.5754,1.6607,0.1356,0.6455,6.825,7.0
1000,5e-05,0.0,0.5,0.0,0.0,0.01,200.0,1.6206,1.7116,0.1098,0.6091,6.75,7.0
1000,5e-05,0.0,0.5,0.0,0.0,0.1,200.0,2.1945,2.2253,0.0234,0.7136,8.59,9.0
1000,5e-05,0.0,0.5,0.0,0.0,0.2,200.0,2.1284,2.179,-0.036,-0.7864,8.89,9.0
