epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median,mono_viol_mean,mono_viol_median
1000,5e-05,0.0,0.1,0.1,0.1,0.01,200.0,4.4893,4.3924,-0.9422,-0.9636,8.415,8.5,0.61,0.0
1000,5e-05,0.0,0.1,0.1,0.1,0.1,200.0,4.4674,4.393,-0.9895,-0.9909,10.14,10.0,0.31,0.0
1000,5e-05,0.0,0.1,0.1,0.1,0.2,200.0,4.5141,4.4715,-0.993,-0.9955,10.255,10.0,0.25,0.0
1000,5e-05,0.0,0.1,0.5,0.0,0.0,200.0,4.495,4.4177,-0.9518,-0.9636,8.29,8.0,0.71,0.0
1000,5e-05,0.0,0.1,0.5,0.0,0.01,200.0,4.4792,4.3544,-0.9375,-0.9636,8.17,8.0,0.55,0.0
1000,5e-05,0.0,0.1,0.5,0.0,0.1,200.0,4.4513,4.4066,-0.9889,-0.9909,10.0,10.0,0.295,0.0
1000,5e-05,0.0,0.1,0.5,0.0,0.2,200.0,4.4814,4.4798,-0.9925,-0.9955,10.28,10.0,0.275,0.0
1000,5e-05,0.0,0.1,0.5,0.01,0.0,200.0,4.4429,4.34,-0.9597,-0.9818,8.45,9.0,0.52,0.0
1000,5e-05,0.0,0.1,0.5,0.01,0.01,200.0,4.5146,4.3615,-0.9485,-0.9636,8.145,8.0,0.505,0.0
1000,5e-05,0.0,0.1,0.5,0.01,0.1,200.0,4.4316,4.3998,-0.9887,-0.9909,9.99,10.0,0.305,0.0
1000,5e-05,0.0,0.1,0.5,0.01,0.2,200.0,4.4869,4.4677,-0.9917,-0.9909,10.245,10.0,0.31,0.0
1000,5e-05,0.0,0.1,0.5,0.1,0.0,200.0,4.5649,4.4892,-0.9556,-0.9727,8.345,9.0,0.63,0.0
1000,5e-05,0.0,0.1,0.5,0.1,0.01,200.0,4.4632,4.3449,-0.9376,-0.9636,8.095,8.0,0.535,0.0
1000,5e-05,0.0,0.1,0.5,0.1,0.1,200.0,4.4462,4.4536,-0.9888,-0.9909,10.035,10.0,0.315,0.0
1000,5e-05,0.0,0.1,0.5,0.1,0.2,200.0,4.4777,4.4547,-0.9928,-0.9955,10.32,10.5,0.255,0.0
1000,5e-05,0.0,0.1,1.0,0.0,0.0,200.0,4.5449,4.5042,-0.9538,-0.9727,8.355,8.0,0.57,0.0
1000,5e-05,0.0,0.1,1.0,0.0,0.01,200.0,4.5088,4.4055,-0.9527,-0.9727,8.55,9.0,0.595,0.0
1000,5e-05,0.0,0.1,1.0,0.0,0.1,200.0,4.4249,4.4346,-0.99,-0.9909,9.99,10.0,0.35,0.0
1000,5e-05,0.0,0.1,1.0,0.0,0.2,200.0,4.5311,4.4892,-0.9941,-1.0,10.4,11.0,0.27,0.0
