epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,val_recon_r2,val_reg_r2
1000,5e-05,0.0,0.01,0.5,0.0,0.2,0.9535926677498209,0.9192558860679687
1000,5e-05,0.0,0.01,0.5,0.01,0.0,0.9557802491431314,0.9186738723607788
1000,5e-05,0.0,0.01,0.5,0.01,0.01,0.9571083671272158,0.9181044663993659
1000,5e-05,0.0,0.01,0.5,0.01,0.1,0.9594251398535398,0.926343286417672
1000,5e-05,0.0,0.01,0.5,0.01,0.2,0.9530035671334556,0.9201536638276658
1000,5e-05,0.0,0.01,0.5,0.1,0.0,0.9570728800853181,0.9183717569278939
1000,5e-05,0.0,0.01,0.5,0.1,0.01,0.9570257005576372,0.9208642231535413
1000,5e-05,0.0,0.01,0.5,0.1,0.1,0.9575268525637022,0.9266394987636253
1000,5e-05,0.0,0.01,0.5,0.1,0.2,0.9528022701467442,0.921279875951974
1000,5e-05,0.0,0.01,1.0,0.0,0.0,0.9501409852348259,0.9193930414811362
1000,5e-05,0.0,0.01,1.0,0.0,0.01,0.9523871954834704,0.9182953428098628
1000,5e-05,0.0,0.01,1.0,0.0,0.1,0.9505581011752151,0.9200537434953757
1000,5e-05,0.0,0.01,1.0,0.0,0.2,0.9451313921529775,0.9197487234733909
1000,5e-05,0.0,0.01,1.0,0.01,0.0,0.9529043181416598,0.9180195050735417
1000,5e-05,0.0,0.01,1.0,0.01,0.01,0.9501721252416763,0.918423681805295
1000,5e-05,0.0,0.01,1.0,0.01,0.1,0.9512255994141574,0.9211088302787659
1000,5e-05,0.0,0.01,1.0,0.01,0.2,0.9430330234138345,0.9205122924390623
1000,5e-05,0.0,0.01,1.0,0.1,0.0,0.9492902107634176,0.9176874564254641
1000,5e-05,0.0,0.01,1.0,0.1,0.01,0.9520922158391175,0.9187223776886405
1000,5e-05,0.0,0.01,1.0,0.1,0.1,0.9499931249130817,0.9201055736186079
1000,5e-05,0.0,0.01,1.0,0.1,0.2,0.9441932438194793,0.9191256820923146
1000,5e-05,0.0,0.1,0.0,0.0,0.0,0.9378758728179858,0.9108164755882316
1000,5e-05,0.0,0.1,0.0,0.0,0.01,0.9411347368648882,0.9133562060838301
1000,5e-05,0.0,0.1,0.0,0.0,0.1,0.946032737272579,0.9161237509095184
1000,5e-05,0.0,0.1,0.0,0.0,0.2,0.9456226835003846,0.9171902483120745
1000,5e-05,0.0,0.1,0.0,0.01,0.0,0.9381717395216078,0.9117879850255147
1000,5e-05,0.0,0.1,0.0,0.01,0.01,0.9401689801559,0.9127309619274273
1000,5e-05,0.0,0.1,0.0,0.01,0.1,0.9485373657242016,0.91591682742937
1000,5e-05,0.0,0.1,0.0,0.01,0.2,0.94655753049362,0.9168322296259946
1000,5e-05,0.0,0.1,0.0,0.1,0.0,0.9407031716800137,0.9122408009902989
1000,5e-05,0.0,0.1,0.0,0.1,0.01,0.9415482990557391,0.9134443637364187
1000,5e-05,0.0,0.1,0.0,0.1,0.1,0.9465130806937043,0.9173578562810172
1000,5e-05,0.0,0.1,0.0,0.1,0.2,0.9470055745044883,0.9175413130376975
1000,5e-05,0.0,0.1,0.1,0.0,0.0,0.9414020442321764,0.9129849642388029
1000,5e-05,0.0,0.1,0.1,0.0,0.01,0.9419125446929193,0.9143913527889209
1000,5e-05,0.0,0.1,0.1,0.0,0.1,0.9464306383654104,0.9159765813123881
1000,5e-05,0.0,0.1,0.1,0.0,0.2,0.9449207976912462,0.9165905935280544
1000,5e-05,0.0,0.1,0.1,0.01,0.0,0.9407720834211566,0.9134434933077776
1000,5e-05,0.0,0.1,0.1,0.01,0.01,0.941301720040201,0.912115547826444
1000,5e-05,0.0,0.1,0.1,0.01,0.1,0.9476071589577635,0.9145308957910117
1000,5e-05,0.0,0.1,0.1,0.01,0.2,0.9467278417268138,0.9156153019652901
1000,5e-05,0.0,0.1,0.1,0.1,0.0,0.9415886159650111,0.9134164281534148
1000,5e-05,0.0,0.1,0.1,0.1,0.01,0.9432864949053408,0.9120654261598736
1000,5e-05,0.0,0.1,0.1,0.1,0.1,0.9484259925710332,0.9146681574992468
1000,5e-05,0.0,0.1,0.1,0.1,0.2,0.9453933094010761,0.9171939439829764
1000,5e-05,0.0,0.1,0.5,0.0,0.0,0.9388140163642975,0.90890250122983
1000,5e-05,0.0,0.1,0.5,0.0,0.01,0.9431771191732038,0.9088920381947192
1000,5e-05,0.0,0.1,0.5,0.0,0.1,0.9461106784931748,0.9123997850113498
1000,5e-05,0.0,0.1,0.5,0.0,0.2,0.9459471857321134,0.9167498904744926
1000,5e-05,0.0,0.1,0.5,0.01,0.0,0.9405653591202072,0.9090385475408201
1000,5e-05,0.0,0.1,0.5,0.01,0.01,0.9398331060301048,0.9103024857615297
1000,5e-05,0.0,0.1,0.5,0.01,0.1,0.9463994254424843,0.912025754095041
1000,5e-05,0.0,0.1,0.5,0.01,0.2,0.9475017092931735,0.9175007898396592
1000,5e-05,0.0,0.1,0.5,0.1,0.0,0.9388399683722409,0.9109601948432612
1000,5e-05,0.0,0.1,0.5,0.1,0.01,0.9404195959642296,0.9109913174458178
1000,5e-05,0.0,0.1,0.5,0.1,0.1,0.9463571863514936,0.9115132415267543
1000,5e-05,0.0,0.1,0.5,0.1,0.2,0.9472948278518507,0.9169625301391933
1000,5e-05,0.0,0.1,1.0,0.0,0.0,0.9388945888710547,0.9139949125016171
1000,5e-05,0.0,0.1,1.0,0.0,0.01,0.9358494788580999,0.9124597450141767
