,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,lambda_infonce,tau,tau_c,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
134,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.1,[0.6829],[None],2014
135,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.04,[0.6673],[None],2015
136,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,2,128,0,8.33,"[0.5881, 0.5269]","[None, None]",2016
137,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.04,[0.7245],[None],2017
138,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,2,128,0,8.32,"[0.6065, 0.6676]","[None, None]",2018
139,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.04,[0.6366],[None],2019
140,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,1,64,1,4.04,[0.708],[None],2000
141,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,1,64,1,4.04,[0.5424],[None],2001
142,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,1,64,1,4.07,[0.687],[None],2002
143,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,2,128,1,8.33,"[0.6452, 0.6808]","[None, None]",2003
144,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,1,64,0,4.05,[0.6989],[None],2004
145,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,1,64,0,4.04,[0.6334],[None],2005
146,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,1,64,0,4.04,[0.6514],[None],2006
147,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.1,,3,192,0,12.76,"[0.6203, 0.6097, 0.5943]","[None, None, None]",2007
