measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,7.03,128,1,"[0.6865, 0.6495]","[None, None]",2012
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,7.05,128,1,"[0.6784, 0.5192]","[None, None]",2013
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.4,64,0,[0.7079],[None],2014
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,7.01,128,0,"[0.6228, 0.5363]","[None, None]",2015
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.3,64,0,[0.6295],[None],2016
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.25,64,0,[0.7483],[None],2017
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.84,128,1,"[0.6484, 0.6239]","[None, None]",2018
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.38,64,0,[0.6435],[None],2019
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.48,64,0,[0.7253],[None],2000
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.27,64,0,[0.6751],[None],2001
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.25,64,1,[0.6573],[None],2002
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.68,128,0,"[0.6627, 0.6476]","[None, None]",2003
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.7415],[None],2004
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6454],[None],2005
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.7102],[None],2006
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.68,128,1,"[0.6952, 0.5556]","[None, None]",2007
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.29,64,1,[0.6241],[None],2008
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6778],[None],2009
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,0,[0.7251],[None],2010
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.38,64,1,[0.6897],[None],2011
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.91,128,0,"[0.7027, 0.6611]","[None, None]",2012
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.9,128,0,"[0.6902, 0.5286]","[None, None]",2013
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.71,128,1,"[0.721, 0.6308]","[None, None]",2014
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.65,128,0,"[0.6688, 0.5747]","[None, None]",2015
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6547],[None],2016
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.65,128,0,"[0.7469, 0.7072]","[None, None]",2017
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,0,[0.6781],[None],2018
64,False,False,1e-05,1e-05,200,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6614],[None],2019
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.7138],[None],2000
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.28,64,0,[0.6784],[None],2001
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,1,[0.6561],[None],2002
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.63,128,1,"[0.6651, 0.6718]","[None, None]",2003
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.7433],[None],2004
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6401],[None],2005
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,0,[0.698],[None],2006
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6944],[None],2007
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.32,64,1,[0.5914],[None],2008
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6611],[None],2009
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.3,64,0,[0.7093],[None],2010
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,1,[0.6809],[None],2011
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.9,128,1,"[0.6908, 0.6643]","[None, None]",2012
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.75,128,1,"[0.6876, 0.5318]","[None, None]",2013
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.68,128,0,"[0.7133, 0.5771]","[None, None]",2014
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.63,128,0,"[0.6322, 0.5371]","[None, None]",2015
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6374],[None],2016
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.7504],[None],2017
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.78,128,1,"[0.6615, 0.6268]","[None, None]",2018
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,0,[0.6524],[None],2019
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,0,[0.7218],[None],2000
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,0,[0.6707],[None],2001
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,1,[0.6558],[None],2002
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.91,128,0,"[0.657, 0.5926]","[None, None]",2003
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,0,[0.7388],[None],2004
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,0,[0.6351],[None],2005
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,0,[0.701],[None],2006
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.92,128,1,"[0.6885, 0.5487]","[None, None]",2007
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,1,[0.6299],[None],2008
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.37,64,0,[0.6765],[None],2009
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,0,[0.7066],[None],2010
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,1,[0.6854],[None],2011
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.9,128,0,"[0.7011, 0.645]","[None, None]",2012
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,3,10.64,192,0,"[0.6795, 0.4661, 0.5305]","[None, None, None]",2013
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.67,128,1,"[0.719, 0.6342]","[None, None]",2014
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.91,128,0,"[0.66, 0.5434]","[None, None]",2015
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,0,[0.6515],[None],2016
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.67,128,0,"[0.7468, 0.6911]","[None, None]",2017
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6789],[None],2018
64,False,False,1e-05,1e-05,300,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6532],[None],2019
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.36,64,0,[0.7149],[None],2000
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,0,[0.6796],[None],2001
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,1,[0.662],[None],2002
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.68,128,0,"[0.6671, 0.6641]","[None, None]",2003
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,0,[0.7468],[None],2004
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.29,64,0,[0.6399],[None],2005
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6992],[None],2006
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6965],[None],2007
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,1,[0.6035],[None],2008
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6636],[None],2009
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.7194],[None],2010
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,1,[0.6791],[None],2011
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.62,128,1,"[0.6951, 0.6668]","[None, None]",2012
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.91,128,1,"[0.6977, 0.5037]","[None, None]",2013
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.89,128,1,"[0.7147, 0.6068]","[None, None]",2014
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.89,128,0,"[0.6416, 0.5388]","[None, None]",2015
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,0,[0.6432],[None],2016
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.33,64,0,[0.7507],[None],2017
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,0,[0.6709],[None],2018
64,False,False,1e-05,1e-05,300,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.31,64,0,[0.6544],[None],2019
