,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed,lambda_pair,lambda_infonce,tau,tau_c,beta,gamma,noise_std,margin_scale,lambda_reg,feature_predictor_lr,epochs
9338,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,1,3.18,48,0.0,[-0.4507],[None],2004,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9339,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,3,9.99,144,0.0,"[0.3559, 0.1281, 0.1291]","[None, None, None]",2005,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9340,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,2,6.82,96,0.0,"[0.2184, -0.0956]","[None, None]",2006,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9341,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,4,13.83,192,0.0,"[0.4345, 0.0495, -0.129, -0.1839]","[None, None, None, None]",2007,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9342,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,2,6.73,96,0.0,"[0.2475, 0.0769]","[None, None]",2008,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9343,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,1,3.19,48,0.0,[0.3249],[None],2009,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9344,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,2,6.54,96,0.0,"[0.388, -0.1947]","[None, None]",2010,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9345,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,2,6.51,96,0.0,"[0.2283, -0.0414]","[None, None]",2011,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9346,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,5,17.72,240,0.0,"[-0.4547, -0.7014, -0.3127, -0.2595, -0.2497]","[None, None, None, None, None]",2012,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9347,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,3,10.21,144,0.0,"[0.3075, -0.221, -0.1549]","[None, None, None]",2013,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9348,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,2,6.61,96,0.0,"[0.086, -0.0178]","[None, None]",2014,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9349,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,2,6.53,96,1.0,"[0.2042, -0.0275]","[None, None]",2015,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9350,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,3,9.99,144,0.0,"[0.3078, 0.0369, 0.0124]","[None, None, None]",2016,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9351,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,4,13.67,192,0.0,"[0.4533, -0.1073, 0.0534, 0.0312]","[None, None, None, None]",2017,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9352,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,3,10.05,144,0.0,"[-0.3987, -0.1704, -0.0605]","[None, None, None]",2018,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9353,48,True,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,2,0,2,6.7,96,0.0,"[0.2101, -0.0439]","[None, None]",2019,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9354,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,1,3.23,48,1.0,[0.1958],[None],2000,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9355,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,2,6.53,96,0.0,"[0.4935, 0.1971]","[None, None]",2001,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9356,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,2,6.59,96,0.0,"[0.0608, -0.1811]","[None, None]",2002,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9357,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,2,6.66,96,0.0,"[0.2054, -0.0849]","[None, None]",2003,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9358,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,1,3.2,48,0.0,[0.2542],[None],2004,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9359,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,4,13.97,192,0.0,"[0.3495, 0.3088, 0.2517, 0.2508]","[None, None, None, None]",2005,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9360,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,2,6.65,96,0.0,"[0.3774, 0.0039]","[None, None]",2006,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9361,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,4,14.36,192,0.0,"[0.4878, 0.2225, 0.0226, 0.0176]","[None, None, None, None]",2007,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9362,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,3,10.32,144,0.0,"[0.4623, 0.2506, 0.1342]","[None, None, None]",2008,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
