scratch,encoder_freeze,measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.35,64,1,[0.6559],[None],2011
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.33,64,0,[0.669],[None],2012
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.86,128,0,"[0.6486, 0.5496]","[None, None]",2013
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.89,128,0,"[0.6988, 0.512]","[None, None]",2014
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,7,27.53,448,0,"[0.575, 0.4412, 0.4052, 0.3987, 0.3816, 0.4242, 0.4486]","[None, None, None, None, None, None, None]",2015
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.26,64,0,[0.5965],[None],2016
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.7447],[None],2017
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,1,"[0.6344, 0.5499]","[None, None]",2018
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6239],[None],2019
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,7,26.55,448,0,"[0.741, 0.5835, 0.5405, 0.3831, 0.3845, 0.2882, 0.3233]","[None, None, None, None, None, None, None]",2000
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.87,128,0,"[0.7162, 0.615]","[None, None]",2001
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.34,64,0,[0.75],[None],2002
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,8,31.95,512,0,"[0.7361, 0.5842, 0.4732, 0.3873, 0.3331, 0.3053, 0.2495, 0.2873]","[None, None, None, None, None, None, None, None]",2003
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.62,128,0,"[0.8005, 0.6722]","[None, None]",2004
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.16,192,0,"[0.7487, 0.6205, 0.4198]","[None, None, None]",2005
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,7,26.54,448,0,"[0.7204, 0.618, 0.5659, 0.4877, 0.3926, 0.3054, 0.291]","[None, None, None, None, None, None, None]",2006
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,7,26.49,448,0,"[0.6931, 0.5563, 0.4619, 0.347, 0.3458, 0.3118, 0.2858]","[None, None, None, None, None, None, None]",2007
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6657],[None],2008
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.7364, 0.6484]","[None, None]",2009
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,5,18.33,320,0,"[0.739, 0.6947, 0.5668, 0.4265, 0.2844]","[None, None, None, None, None]",2010
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.34,64,0,[0.7538],[None],2011
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,5,18.6,320,0,"[0.7135, 0.6088, 0.4896, 0.3687, 0.2966]","[None, None, None, None, None]",2012
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.31,192,0,"[0.7756, 0.644, 0.5325]","[None, None, None]",2013
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,4,14.05,256,0,"[0.7644, 0.6005, 0.4431, 0.4093]","[None, None, None, None]",2014
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,6,22.13,384,0,"[0.7062, 0.5718, 0.3874, 0.2272, 0.1803, 0.1851]","[None, None, None, None, None, None]",2015
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,5,17.93,320,0,"[0.7303, 0.4636, 0.294, 0.1891, 0.2482]","[None, None, None, None, None]",2016
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.7559, 0.5966]","[None, None]",2017
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.6777, 0.5761]","[None, None]",2018
True,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.731],[None],2019
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,6,22.17,384,0,"[0.755, 0.6316, 0.6279, 0.5749, 0.4513, 0.4062]","[None, None, None, None, None, None]",2000
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.16,192,0,"[0.6963, 0.6136, 0.5478]","[None, None, None]",2001
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.7447],[None],2002
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,6,22.16,384,0,"[0.738, 0.5933, 0.5683, 0.4586, 0.4677, 0.4455]","[None, None, None, None, None, None]",2003
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.64,128,0,"[0.8028, 0.6966]","[None, None]",2004
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.2,192,0,"[0.7502, 0.6337, 0.4975]","[None, None, None]",2005
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,6,22.35,384,0,"[0.726, 0.6138, 0.5712, 0.5721, 0.4836, 0.4258]","[None, None, None, None, None, None]",2006
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,4,14.05,256,0,"[0.6967, 0.6237, 0.5635, 0.4991]","[None, None, None, None]",2007
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6717],[None],2008
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.7402, 0.6323]","[None, None]",2009
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.59,128,0,"[0.74, 0.6665]","[None, None]",2010
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.7594],[None],2011
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,5,17.93,320,0,"[0.7035, 0.5865, 0.5011, 0.4126, 0.4632]","[None, None, None, None, None]",2012
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,5,17.95,320,0,"[0.7778, 0.6429, 0.5688, 0.4089, 0.3678]","[None, None, None, None, None]",2013
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,4,14.18,256,0,"[0.7645, 0.607, 0.5215, 0.4795]","[None, None, None, None]",2014
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,6,22.99,384,0,"[0.7168, 0.6018, 0.5092, 0.4142, 0.3705, 0.2927]","[None, None, None, None, None, None]",2015
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,4,14.47,256,0,"[0.7353, 0.5643, 0.4236, 0.3936]","[None, None, None, None]",2016
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.59,128,0,"[0.7563, 0.6251]","[None, None]",2017
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.16,192,0,"[0.688, 0.6335, 0.5562]","[None, None, None]",2018
True,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.59,128,0,"[0.7336, 0.6496]","[None, None]",2019
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.26,192,0,"[0.7547, 0.6507, 0.6153]","[None, None, None]",2000
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.7,128,0,"[0.6873, 0.6093]","[None, None]",2001
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.7482],[None],2002
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,7,26.49,448,0,"[0.7297, 0.6144, 0.4978, 0.5261, 0.4715, 0.4837, 0.4332]","[None, None, None, None, None, None, None]",2003
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.9,128,0,"[0.7937, 0.6921]","[None, None]",2004
