,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
1291,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.15,[0.6457],[None],2011
1292,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.04,[0.6304],[None],2012
1293,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,3,192,1,12.89,"[0.6801, 0.7148, 0.7125]","[None, None, None]",2013
1294,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.05,[0.689],[None],2014
1295,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,5,320,0,22.91,"[0.6666, 0.6673, 0.7356, 0.727, 0.7246]","[None, None, None, None, None]",2015
1296,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,2,128,0,8.5,"[0.6211, 0.5222]","[None, None]",2016
1297,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.05,[0.711],[None],2017
1298,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,2,128,1,8.38,"[0.6133, 0.6768]","[None, None]",2018
1299,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.05,[0.6124],[None],2019
1300,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.05,[0.7101],[None],2000
