scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,5.99,128,"[0.6196, 0.6433]","[None, None]",2005
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.9,64,[0.6396],[None],2006
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,5,16.99,320,"[0.6024, 0.6495, 0.5963, 0.5608, 0.592]","[None, None, None, None, None]",2007
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.92,64,[0.4358],[None],2008
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,5.88,128,"[0.6266, 0.6195]","[None, None]",2009
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.77,64,[0.6573],[None],2010
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.76,64,[0.6197],[None],2011
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,5.71,128,"[0.5603, 0.6483]","[None, None]",2012
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,8.88,192,"[0.6696, 0.626, 0.6186]","[None, None, None]",2013
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,9.36,192,"[0.6731, 0.5324, 0.4228]","[None, None, None]",2014
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,6.06,128,"[0.6476, 0.625]","[None, None]",2015
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,6.0,128,"[0.5701, 0.5401]","[None, None]",2016
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.89,64,[0.6794],[None],2017
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,6.05,128,"[0.5737, 0.6053]","[None, None]",2018
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.89,64,[0.5979],[None],2019
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.78,128,"[-9.3264, -9.1437]","[None, None]",2000
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,6.04,128,"[-9.1152, -9.016]","[None, None]",2001
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,2.8,64,[-9.1198],[None],2002
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.75,128,"[-8.9666, -8.7751]","[None, None]",2003
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,2.76,64,[-9.1866],[None],2004
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.9,128,"[-9.1616, -8.8848]","[None, None]",2005
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.83,128,"[-9.2827, -9.2524]","[None, None]",2006
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,9.41,192,"[-9.1734, -9.0759, -9.0116]","[None, None, None]",2007
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,2.88,64,[-9.4102],[None],2008
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.8,128,"[-9.3206, -9.0984]","[None, None]",2009
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.77,128,"[-9.2817, -9.1268]","[None, None]",2010
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,2.77,64,[-9.1193],[None],2011
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.74,128,"[-9.3181, -9.2799]","[None, None]",2012
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.75,128,"[-9.1604, -9.2504]","[None, None]",2013
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.84,128,"[-9.2575, -8.8122]","[None, None]",2014
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.04,64,[-9.3721],[None],2015
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.8,128,"[-9.2631, -8.9138]","[None, None]",2016
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,5.75,128,"[-8.9992, -9.0299]","[None, None]",2017
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,6.05,128,"[-9.062, -9.5085]","[None, None]",2018
False,True,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,2.92,64,[-9.0276],[None],2019
