,measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,rank_warmup_epochs,scratch,encoder_freeze
164,64,3,3.52,192,"[0.4838, 0.5974, 0.6217]",[],2004,0,False,False
165,64,4,4.01,256,"[0.3872, 0.5023, 0.4716, 0.5802]",[],2005,0,False,False
166,64,3,3.47,192,"[0.5807, 0.2938, 0.4298]",[],2006,0,False,False
167,64,2,3.14,128,"[0.4993, 0.541]",[],2007,0,False,False
168,64,3,3.47,192,"[0.5457, 0.6126, 0.5631]",[],2008,0,False,False
169,64,4,4.17,256,"[0.3309, 0.6872, 0.534, 0.5741]",[],2009,0,False,False
170,48,2,3.53,96,"[0.4909, 0.4998]",[],2000,0,False,False
171,48,1,3.05,48,[0.4716],[],2001,0,False,False
172,48,2,3.53,96,"[0.2987, 0.5204]",[],2002,0,False,False
173,48,1,3.0,48,[0.3409],[],2003,0,False,False
174,48,1,2.96,48,[0.5199],[],2004,0,False,False
175,48,4,4.89,192,"[0.5103, 0.4934, 0.6066, 0.6024]",[],2005,0,False,False
176,48,5,5.83,240,"[0.4881, 0.5091, 0.5719, 0.5773, 0.5958]",[],2006,0,False,False
177,48,5,5.84,240,"[0.415, 0.5025, 0.5548, 0.5559, 0.5676]",[],2007,0,False,False
178,48,5,5.8,240,"[0.5112, 0.6353, 0.6612, 0.6512, 0.6384]",[],2008,0,False,False
179,48,3,4.19,144,"[0.4392, 0.5013, 0.5549]",[],2009,0,False,False
180,48,4,4.86,192,"[0.518, 0.4036, 0.4399, 0.4706]",[],2010,0,False,False
181,48,4,4.92,192,"[0.4979, 0.5372, 0.3418, 0.4198]",[],2011,0,False,False
182,48,5,5.81,240,"[0.4487, 0.2948, 0.288, 0.2114, 0.4604]",[],2012,0,False,False
183,48,2,3.53,96,"[0.4156, 0.6375]",[],2013,0,False,False
184,48,7,8.23,336,"[0.4618, 0.4294, 0.4286, 0.4343, 0.4935, 0.5451, 0.6063]",[],2014,0,False,False
185,48,4,4.97,192,"[0.5494, 0.5854, 0.6577, 0.6058]",[],2015,0,False,False
186,48,4,4.93,192,"[-0.9988, 0.4584, 0.5503, 0.5748]",[],2016,0,False,False
187,48,4,4.92,192,"[0.3358, 0.5025, 0.4855, 0.58]",[],2017,0,False,False
188,48,3,4.11,144,"[0.4704, 0.5167, 0.5278]",[],2018,0,False,False
189,48,3,4.14,144,"[0.3943, 0.4706, 0.6005]",[],2019,0,False,False
190,64,4,5.1,256,"[0.4715, 0.5568, 0.5104, 0.5565]",[],2000,0,False,False
191,64,3,4.01,192,"[0.5626, 0.5161, 0.605]",[],2001,0,False,False
192,64,3,3.98,192,"[0.6207, 0.5753, 0.6437]",[],2002,0,False,False
193,64,4,4.86,256,"[0.6072, 0.579, 0.5048, 0.5879]",[],2003,0,False,False
194,64,3,3.95,192,"[0.493, 0.574, 0.5882]",[],2004,0,False,False
195,64,3,4.0,192,"[0.3719, 0.4445, 0.4413]",[],2005,0,False,False
196,64,2,3.32,128,"[0.579, 0.6516]",[],2006,0,False,False
197,64,2,3.43,128,"[0.4673, 0.4665]",[],2007,0,False,False
198,64,3,4.03,192,"[0.5415, 0.5958, 0.5992]",[],2008,0,False,False
199,64,4,4.9,256,"[0.3321, 0.6024, 0.6371, 0.6511]",[],2009,0,False,False
200,64,2,3.16,128,"[0.455, 0.4711]",[],2000,0,False,False
201,64,5,4.44,320,"[0.5689, 0.5475, 0.5938, 0.5836, 0.6436]",[],2001,0,False,False
202,64,4,4.01,256,"[0.588, 0.5441, 0.5812, 0.6114]",[],2002,0,False,False
203,64,2,3.09,128,"[0.5876, 0.5477]",[],2003,0,False,False
204,64,2,3.24,128,"[0.4325, 0.608]",[],2004,0,False,False
205,64,2,3.09,128,"[0.4016, 0.5381]",[],2005,0,False,False
206,64,2,3.09,128,"[0.5755, 0.333]",[],2006,0,False,False
207,64,7,5.6,448,"[0.4894, 0.5619, 0.478, 0.5676, 0.5699, 0.5365, 0.5669]",[],2007,0,False,False
208,64,2,3.11,128,"[0.5457, 0.6573]",[],2008,0,False,False
209,64,4,3.92,256,"[0.3686, 0.5665, 0.5754, 0.6717]",[],2009,0,False,False
210,64,2,3.04,128,"[0.4404, 0.5206]",[],2000,0,False,False
211,64,2,3.0,128,"[0.5515, 0.5773]",[],2001,0,False,False
212,64,4,3.81,256,"[0.6083, 0.6084, 0.6144, 0.5693]",[],2002,0,False,False
213,64,2,2.96,128,"[0.5985, 0.5208]",[],2003,0,False,False
214,64,3,3.36,192,"[0.4736, 0.5066, 0.5929]",[],2004,0,False,False
215,64,3,3.49,192,"[0.3693, 0.4844, 0.5341]",[],2005,0,False,False
216,64,1,2.68,64,[0.5456],[],2006,0,False,False
217,64,12,8.57,768,"[0.491, 0.4168, 0.4913, 0.5221, 0.5653, 0.6157, 0.6488, 0.6235, 0.6245, 0.5647, 0.6317, 0.6954]",[],2007,0,False,False
218,64,3,3.34,192,"[0.4976, 0.6093, 0.5855]",[],2008,0,False,False
219,64,4,3.86,256,"[0.4013, 0.6096, 0.6454, 0.5984]",[],2009,0,False,False
220,64,2,3.14,128,"[0.4524, 0.5037]",[],2000,0,False,False
221,64,3,3.58,192,"[0.5629, 0.5686, 0.5451]",[],2001,0,False,False
222,64,1,2.77,64,[0.6057],[],2002,0,False,False
223,64,3,3.51,192,"[0.5725, 0.5413, 0.5843]",[],2003,0,False,False
224,64,3,3.53,192,"[0.4354, 0.6018, 0.5897]",[],2004,0,False,False
225,64,2,3.17,128,"[0.4021, 0.4879]",[],2005,0,False,False
226,64,4,4.05,256,"[0.5908, 0.3183, 0.5905, 0.431]",[],2006,0,False,False
227,64,2,3.1,128,"[0.4897, 0.4682]",[],2007,0,False,False
228,64,2,3.04,128,"[0.5347, 0.6115]",[],2008,0,False,False
229,64,4,3.96,256,"[0.3562, 0.5787, 0.6483, 0.6412]",[],2009,0,False,False
230,64,3,4.03,192,"[0.4698, 0.5222, 0.5323]",[],2000,0,False,False
231,64,4,4.85,256,"[0.5438, 0.581, 0.6565, 0.616]",[],2001,0,False,False
232,64,5,5.82,320,"[0.6159, 0.6019, 0.6477, 0.602, 0.6259]",[],2002,0,False,False
233,64,4,4.81,256,"[0.5736, 0.5157, 0.62, 0.661]",[],2003,0,False,False
234,64,2,3.28,128,"[0.463, 0.599]",[],2004,0,False,False
235,64,2,3.34,128,"[0.3881, 0.5376]",[],2005,0,False,False
236,64,4,4.93,256,"[0.5962, 0.5675, 0.4604, 0.5493]",[],2006,0,False,False
237,64,2,3.33,128,"[0.4937, 0.4923]",[],2007,0,False,False
238,64,3,4.06,192,"[0.5632, 0.6486, 0.608]",[],2008,0,False,False
239,64,2,3.37,128,"[0.3922, 0.549]",[],2009,0,False,False
240,48,2,3.53,96,"[0.4671, 0.5804]",[],2000,0,False,False
241,48,1,2.96,48,[0.4124],[],2001,0,False,False
242,48,2,3.45,96,"[0.2857, 0.5203]",[],2002,0,False,False
243,48,1,2.99,48,[0.3647],[],2003,0,False,False
244,48,1,2.99,48,[0.5382],[],2004,0,False,False
245,48,4,4.87,192,"[0.5018, 0.5546, 0.4699, 0.5855]",[],2005,0,False,False
246,48,4,5.03,192,"[0.4808, 0.5226, 0.5154, 0.5747]",[],2006,0,False,False
247,48,4,4.85,192,"[0.4234, 0.5879, 0.466, 0.5129]",[],2007,0,False,False
248,48,4,4.92,192,"[0.4973, 0.5844, 0.5457, 0.5858]",[],2008,0,False,False
249,48,3,4.14,144,"[0.4256, 0.5239, 0.4775]",[],2009,0,False,False
250,48,7,8.19,336,"[0.5112, 0.3847, 0.4779, 0.4328, 0.5524, 0.5292, 0.6754]",[],2010,0,False,False
251,48,5,5.77,240,"[0.5004, 0.5801, 0.6131, 0.5143, 0.5436]",[],2011,0,False,False
252,48,2,3.44,96,"[0.446, 0.4067]",[],2012,0,False,False
253,48,3,4.24,144,"[0.3934, 0.5825, 0.5725]",[],2013,0,False,False
254,48,9,10.82,432,"[0.4923, 0.4648, 0.5369, 0.4579, 0.4692, 0.4474, 0.4919, 0.4352, 0.4995]",[],2014,0,False,False
255,48,6,6.73,288,"[0.5557, 0.5273, 0.4775, 0.5706, 0.5941, 0.6078]",[],2015,0,False,False
256,48,3,4.13,144,"[-0.8679, 0.3514, 0.5213]",[],2016,0,False,False
257,48,2,3.54,96,"[0.3608, 0.4014]",[],2017,0,False,False
258,48,2,3.47,96,"[0.478, 0.5195]",[],2018,0,False,False
259,48,2,3.59,96,"[0.3891, 0.5696]",[],2019,0,False,False
260,64,2,3.45,128,"[0.4427, 0.5904]",[],2000,0,False,False
261,64,2,3.52,128,"[0.5552, 0.5822]",[],2001,0,False,False
262,64,3,4.2,192,"[0.611, 0.5704, 0.6495]",[],2002,0,False,False
263,64,3,4.19,192,"[0.5537, 0.5622, 0.6258]",[],2003,0,False,False
264,64,2,3.51,128,"[0.4739, 0.5612]",[],2004,0,False,False
265,64,2,3.52,128,"[0.3781, 0.52]",[],2005,0,False,False
266,64,1,2.93,64,[0.5453],[],2006,0,False,False
267,64,2,3.5,128,"[0.4596, 0.4017]",[],2007,0,False,False
268,64,4,5.06,256,"[0.4881, 0.6293, 0.5753, 0.5995]",[],2008,0,False,False
269,64,5,6.38,320,"[0.3591, 0.4776, 0.6284, 0.6224, 0.6279]",[],2009,0,False,False
270,64,3,4.2,192,"[0.3597, 0.5938, 0.6239]",[],2010,0,False,False
271,64,2,3.55,128,"[0.5694, 0.5408]",[],2011,0,False,False
272,64,4,5.16,256,"[0.5628, 0.5472, 0.4836, 0.5068]",[],2012,0,False,False
273,64,2,3.49,128,"[0.4412, 0.4083]",[],2013,0,False,False
274,64,5,6.15,320,"[0.3738, 0.3837, 0.5485, 0.6452, 0.6116]",[],2014,0,False,False
275,64,4,5.11,256,"[0.3995, 0.5907, 0.6624, 0.4983]",[],2015,0,False,False
276,64,2,3.52,128,"[0.4996, 0.5596]",[],2016,0,False,False
277,64,3,4.29,192,"[0.5484, 0.5307, 0.5939]",[],2017,0,False,False
278,64,2,3.55,128,"[0.4899, 0.6207]",[],2018,0,False,False
279,64,3,4.21,192,"[0.5278, 0.4921, 0.5687]",[],2019,0,False,False
