lambda_reg,lambda_pair,margin_scale,gamma,beta,noise_std,alpha,encoder_lr,feature_predictor_lr,cost_predictor_lr,use_feature,mean_reg_r2,std_reg_r2,mean_rank_r2,std_rank_r2
0.1,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.2335,0.0,0.7366,0.0005
0.1,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.1555,0.0,0.7444,0.0008
0.1,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.2389,0.0,0.7445,0.0069
0.1,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.1884,0.0,0.7489,0.001
0.1,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.1823,0.0,0.7513,0.0033
0.1,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.1773,0.0,0.7684,0.0005
0.1,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.3759,0.0,0.7715,0.0057
0.1,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.3322,0.0,0.7725,0.0061
0.1,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.3189,0.0,0.766,0.0043
0.1,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.2056,0.0,0.7692,0.0127
0.1,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.2774,0.0,0.7631,0.0011
0.1,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.1953,0.0,0.7837,0.003
0.1,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.3475,0.0,0.7695,0.0046
0.1,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.1072,0.0,0.7492,0.0009
0.1,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.1911,0.0,0.7533,0.0119
0.1,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.227,0.0,0.7459,0.0038
0.1,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,True,-0.0147,0.0,0.7545,0.0033
0.1,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.2239,0.0,0.7562,0.0028
0.1,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.2327,0.0,0.75,0.0023
0.1,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.1397,0.0,0.7464,0.0017
0.1,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.238,0.0,0.7627,0.0016
0.1,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.1733,0.0,0.7753,0.0013
0.1,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.3564,0.0,0.7722,0.0009
0.1,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.3475,0.0,0.771,0.0063
0.1,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.3313,0.0,0.7639,0.008
0.1,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.0914,0.0,0.7682,0.0033
0.1,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.2976,0.0,0.7779,0.0039
0.1,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.3354,0.0,0.7703,0.0021
0.1,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.328,0.0,0.7665,0.0009
