lambda_reg,lambda_pair,margin_scale,gamma,beta,noise_std,alpha,encoder_lr,feature_predictor_lr,cost_predictor_lr,use_feature,mean_reg_r2,std_reg_r2,mean_rank_r2,std_rank_r2
0.01,1.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.4274,0.0658,0.7858,0.0045
0.01,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.4705,0.0041,0.7839,0.0011
0.01,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.4423,0.0507,0.7859,0.0015
0.01,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.4705,0.0041,0.7863,0.0031
0.01,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.4704,0.0368,0.7913,0.0013
0.01,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,0.4498,0.0099,0.7897,0.0114
0.01,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.4745,0.0058,0.7783,0.0184
0.01,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,False,0.4498,0.0099,0.7925,0.012
0.01,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,True,0.446,0.0044,0.7949,0.0106
0.01,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.4674,0.0011,0.8004,0.0036
0.01,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.5021,0.0168,0.7944,0.0058
0.01,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.4674,0.0011,0.7927,0.0047
0.01,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.4747,0.0031,0.7859,0.0015
0.01,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.4954,0.0108,0.7921,0.0123
0.01,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.4906,0.0213,0.7972,0.0025
0.01,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.4954,0.0108,0.7936,0.0084
0.01,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.4635,0.0299,0.7875,0.0037
0.01,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.4724,0.0259,0.7783,0.0047
0.01,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.4617,0.0028,0.7972,0.0047
0.01,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.4724,0.0259,0.7865,0.0047
0.01,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.4675,0.0143,0.7844,0.0068
0.01,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,0.4708,0.0018,0.7782,0.0128
0.01,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.4908,0.0057,0.7888,0.0069
0.01,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,False,0.4708,0.0018,0.7856,0.0044
0.01,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,True,0.4769,0.0054,0.7902,0.0028
0.01,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.4993,0.0017,0.7997,0.0143
0.01,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.4987,0.0039,0.7906,0.0075
0.01,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.4993,0.0017,0.8009,0.0034
0.01,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.5101,0.0014,0.7907,0.007
0.01,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.4779,0.0257,0.7932,0.0034
0.01,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.5002,0.0054,0.7816,0.0096
0.01,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.4779,0.0257,0.7947,0.0083
0.01,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.5091,0.0024,0.7906,0.0059
0.1,1.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.081,0.1424,0.741,0.0085
0.1,1.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.077,0.0795,0.7399,0.002
0.1,1.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.081,0.1424,0.7448,0.001
0.1,1.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.0794,0.0999,0.7406,0.0156
0.1,1.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,0.1072,0.1235,0.7437,0.0186
0.1,1.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.1313,0.0606,0.7428,0.0123
0.1,1.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,False,0.1072,0.1235,0.7474,0.0053
0.1,1.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,True,-0.0355,0.038,0.7413,0.0037
0.1,1.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.2351,0.1214,0.7679,0.0054
0.1,1.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.1901,0.1663,0.7763,0.0159
0.1,1.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.2351,0.1214,0.7742,0.0076
0.1,1.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.2749,0.1581,0.7821,0.004
0.1,1.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.3245,0.0559,0.7706,0.0009
0.1,1.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.1805,0.0231,0.7774,0.0044
0.1,1.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.3245,0.0559,0.7769,0.0094
0.1,1.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.3583,0.0144,0.7733,0.0008
0.1,1.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.0549,0.0197,0.7401,0.0013
0.1,1.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.1108,0.0359,0.7444,0.006
0.1,1.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.0549,0.0197,0.7435,0.0109
0.1,1.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.1281,0.0408,0.7493,0.004
0.1,1.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,-0.0024,0.195,0.7389,0.0051
0.1,1.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.0854,0.1033,0.7414,0.0076
0.1,1.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,False,-0.0024,0.195,0.743,0.0
0.1,1.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,True,0.0732,0.0158,0.7436,0.0067
0.1,1.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.2383,0.0336,0.7794,0.0052
0.1,1.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.2838,0.0392,0.7739,0.0069
0.1,1.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.2383,0.0336,0.7735,0.0037
0.1,1.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.2612,0.1219,0.7815,0.0038
0.1,1.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.3081,0.0585,0.7749,0.0008
0.1,1.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.1862,0.0903,0.7807,0.0019
0.1,1.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.3081,0.0585,0.7711,0.0011
0.1,1.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.2165,0.0695,0.7749,0.0027
0.1,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.186,0.1144,0.7526,0.0022
0.1,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.1779,0.011,0.7579,0.0078
0.1,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.186,0.1144,0.7515,0.0026
0.1,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.1691,0.0653,0.7417,0.0041
0.1,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,0.234,0.0272,0.7545,0.0006
0.1,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.2373,0.0028,0.7571,0.0025
0.1,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,False,0.234,0.0272,0.7566,0.0003
0.1,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,True,0.1156,0.0226,0.7521,0.0127
0.1,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.276,0.0799,0.7695,0.0081
0.1,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.294,0.0995,0.7781,0.0119
0.1,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.276,0.0799,0.7664,0.0091
0.1,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.1999,0.0664,0.7684,0.0034
0.1,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.322,0.0779,0.7795,0.0093
0.1,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.3104,0.0898,0.7687,0.0064
0.1,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.322,0.0779,0.7704,0.0079
0.1,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.1634,0.1272,0.7703,0.0047
0.1,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.2229,0.0857,0.7601,0.0017
0.1,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.2227,0.0597,0.7479,0.001
0.1,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.2229,0.0857,0.7564,0.0079
0.1,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.1951,0.0803,0.7443,0.009
0.1,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,0.2111,0.1093,0.7469,0.0004
0.1,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.1941,0.0843,0.7598,0.0072
0.1,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,False,0.2111,0.1093,0.7542,0.0122
0.1,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,True,0.1885,0.0831,0.7538,0.0117
0.1,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.2494,0.1152,0.77,0.0098
0.1,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.2949,0.0422,0.7724,0.0071
0.1,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.2494,0.1152,0.7708,0.0019
0.1,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.2222,0.0161,0.7764,0.0047
0.1,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.1554,0.0795,0.781,0.0016
0.1,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.2506,0.1233,0.7717,0.0042
0.1,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.1554,0.0795,0.7665,0.0093
0.1,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.2381,0.0243,0.7833,0.0014
