encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,1,"[0.6882, 0.5224]","[None, None]",2004
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6214],[None],2005
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.6015],[None],2006
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.48,64,0,[0.5779],[None],2007
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.4236],[None],2008
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.635],[None],2009
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6293],[None],2000
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.5744],[None],2001
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,1,[0.641],[None],2002
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,0,"[0.5996, 0.5163]","[None, None]",2003
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,2,6.99,128,0,"[0.6962, 0.5661]","[None, None]",2004
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6195],[None],2005
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6012],[None],2006
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.5792],[None],2007
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,1,[0.4636],[None],2008
0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6295],[None],2009
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6235],[None],2000
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.5691],[None],2001
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,1,[0.649],[None],2002
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,2,7.12,128,0,"[0.596, 0.5161]","[None, None]",2003
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,2,7.13,128,0,"[0.6974, 0.5414]","[None, None]",2004
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6165],[None],2005
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.5861],[None],2006
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,2,7.1,128,0,"[0.5681, 0.4732]","[None, None]",2007
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,1,[0.4689],[None],2008
0.0001,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,0,"[0.6248, 0.5057]","[None, None]",2009
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.6966],[None],2000
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,0,[0.5743],[None],2001
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.687],[None],2002
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,2,6.99,128,1,"[0.6537, 0.6693]","[None, None]",2003
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6993],[None],2004
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.51,64,0,[0.6468],[None],2005
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.52,64,0,[0.6465],[None],2006
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.6002],[None],2007
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.5,64,1,[0.4376],[None],2008
1e-05,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6342],[None],2009
