scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6895],[None],2002
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,"[0.6329, 0.649]","[None, None]",2003
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.7054],[None],2004
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.05,128,"[0.6301, 0.6222]","[None, None]",2005
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6429],[None],2006
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,4,14.95,256,"[0.6078, 0.6672, 0.5776, 0.6081]","[None, None, None, None]",2007
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.4306],[None],2008
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.31,128,"[0.6361, 0.5989]","[None, None]",2009
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,[0.6654],[None],2010
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.46,64,[0.6299],[None],2011
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,6.99,128,"[0.5774, 0.6557]","[None, None]",2012
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.16,128,"[0.6777, 0.6756]","[None, None]",2013
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,4,14.98,256,"[0.6734, 0.5252, 0.41, 0.4296]","[None, None, None, None]",2014
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.6501, 0.6504]","[None, None]",2015
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,6.98,128,"[0.5784, 0.5535]","[None, None]",2016
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6893],[None],2017
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,"[0.5779, 0.6134]","[None, None]",2018
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,[0.5999],[None],2019
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[-8.103, -8.1111]","[None, None]",2000
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,[-7.772],[None],2001
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,[-8.2248],[None],2002
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.2,128,"[-7.7003, -7.6717]","[None, None]",2003
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[-8.175],[None],2004
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[-7.9889],[None],2005
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.18,128,"[-8.2598, -8.4545]","[None, None]",2006
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,4,14.86,256,"[-7.9637, -7.8887, -7.7841, -7.5866]","[None, None, None, None]",2007
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[-8.1571],[None],2008
