,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,rank_warmup_epochs,top-1,T_mc
3944,48,False,True,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,2,0,1,2.59,48,[-7.8651],[None],2014,200,0.0,20.0
3945,48,False,True,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,2,0,2,5.42,96,"[-8.1652, -7.8668]","[None, None]",2015,200,0.0,20.0
3946,48,False,True,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,2,0,1,2.62,48,[-7.7439],[None],2016,200,0.0,20.0
3947,48,False,True,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,2,0,3,8.3,144,"[-8.4144, -7.9922, -7.8948]","[None, None, None]",2017,200,0.0,20.0
3948,48,False,True,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,2,0,2,5.53,96,"[-8.49, -8.1089]","[None, None]",2018,200,0.0,20.0
3949,48,False,True,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,2,0,2,5.34,96,"[-7.7652, -7.6547]","[None, None]",2019,200,0.0,20.0
3950,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.3891],[None],2000,0,1.0,20.0
3951,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,7,26.26,336,"[0.5622, 0.5275, 0.3888, 0.404, 0.3196, 0.1856, 0.1425]","[None, None, None, None, None, None, None]",2001,0,0.0,20.0
3952,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.29,48,[0.4344],[None],2002,0,0.0,20.0
3953,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.505],[None],2003,0,0.0,20.0
3954,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.547],[None],2004,0,0.0,20.0
3955,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.5949, 0.5123]","[None, None]",2005,0,0.0,20.0
3956,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.631],[None],2006,0,0.0,20.0
3957,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.49,96,"[0.6327, 0.5513]","[None, None]",2007,0,0.0,20.0
3958,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.5,96,"[0.6046, 0.5751]","[None, None]",2008,0,0.0,20.0
3959,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.2,48,[0.5901],[None],2009,0,0.0,20.0
