,measure_size,encoder_freeze,scratch,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
25,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.68,"[0.6795, 0.6739]","[None, None]",2005
26,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.64,"[0.5933, 0.6633]","[None, None]",2006
27,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.34,"[0.5085, 0.7016, 0.6748]","[None, None, None]",2007
28,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.92,"[0.6001, 0.6333]","[None, None]",2008
29,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.88,"[0.6655, 0.6698]","[None, None]",2009
30,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.35,"[0.5331, 0.642, 0.6445]","[None, None, None]",2010
31,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,5,320,0,19.12,"[0.6454, 0.637, 0.6352, 0.6724, 0.6664]","[None, None, None, None, None]",2011
32,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.52,"[0.6272, 0.5954, 0.6319]","[None, None, None]",2012
33,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.9,"[0.5578, 0.5893]","[None, None]",2013
34,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.61,"[0.5864, 0.6811, 0.6551]","[None, None, None]",2014
35,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.65,"[0.6289, 0.6472, 0.6313]","[None, None, None]",2015
36,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.28,"[0.6079, 0.6536, 0.6552]","[None, None, None]",2016
37,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.81,"[0.5212, 0.6701]","[None, None]",2017
38,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.27,"[0.5903, 0.58, 0.572]","[None, None, None]",2018
39,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.69,"[0.6081, 0.6669]","[None, None]",2019
