,measure_size,encoder_freeze,scratch,weights,uncertainty_topk,grad_num,rand_num,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed,lambda_infonce,tau,tau_c,beta,gamma,noise_std,lambda_reg,feature_predictor_lr,epochs
57,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.52,"[0.5085, 0.6968, 0.684]","[None, None, None]",2007,0.0,0.0,,0.01,0.01,0.001,,,
58,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,7.05,"[0.6001, 0.6632]","[None, None]",2008,0.0,0.0,,0.01,0.01,0.001,,,
59,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.8,"[0.6655, 0.666]","[None, None]",2009,0.0,0.0,,0.01,0.01,0.001,,,
60,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,4,256,0.0,14.32,"[0.5331, 0.6451, 0.5969, 0.6424]","[None, None, None, None]",2010,0.0,0.0,,0.01,0.01,0.001,,,
61,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,4,256,0.0,14.36,"[0.6454, 0.6567, 0.6492, 0.6977]","[None, None, None, None]",2011,0.0,0.0,,0.01,0.01,0.001,,,
62,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.45,"[0.6272, 0.6265, 0.6526]","[None, None, None]",2012,0.0,0.0,,0.01,0.01,0.001,,,
63,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.85,"[0.5578, 0.5938]","[None, None]",2013,0.0,0.0,,0.01,0.01,0.001,,,
64,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.52,"[0.5864, 0.6704, 0.6633]","[None, None, None]",2014,0.0,0.0,,0.01,0.01,0.001,,,
65,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,4,256,0.0,14.27,"[0.6289, 0.6527, 0.6159, 0.6256]","[None, None, None, None]",2015,0.0,0.0,,0.01,0.01,0.001,,,
66,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.44,"[0.6079, 0.6657, 0.6511]","[None, None, None]",2016,0.0,0.0,,0.01,0.01,0.001,,,
67,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.86,"[0.5212, 0.6844]","[None, None]",2017,0.0,0.0,,0.01,0.01,0.001,,,
68,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.4,"[0.5903, 0.5804, 0.6047]","[None, None, None]",2018,0.0,0.0,,0.01,0.01,0.001,,,
69,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.88,"[0.6081, 0.663]","[None, None]",2019,0.0,0.0,,0.01,0.01,0.001,,,
70,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,3,192,0.0,10.82,"[0.6249, 0.7471, 0.758]","[None, None, None]",2000,0.0,0.0,,0.01,0.01,0.001,,,
71,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,1,64,0.0,3.46,[0.6214],[None],2001,0.0,0.0,,0.01,0.01,0.001,,,
72,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,1,64,0.0,3.67,[0.6974],[None],2002,0.0,0.0,,0.01,0.01,0.001,,,
73,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,2,128,0.0,6.72,"[0.6607, 0.7462]","[None, None]",2003,0.0,0.0,,0.01,0.01,0.001,,,
74,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,3,192,0.0,10.37,"[0.6406, 0.7616, 0.7725]","[None, None, None]",2004,0.0,0.0,,0.01,0.01,0.001,,,
75,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,5,320,0.0,18.28,"[0.7058, 0.7514, 0.8006, 0.7905, 0.792]","[None, None, None, None, None]",2005,0.0,0.0,,0.01,0.01,0.001,,,
76,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,1,64,0.0,3.24,[0.6714],[None],2006,0.0,0.0,,0.01,0.01,0.001,,,
77,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.001,0,3.0,0.3,5,320,0.0,18.43,"[0.6162, 0.7393, 0.7551, 0.7931, 0.7867]","[None, None, None, None, None]",2007,0.0,0.0,,0.01,0.01,0.001,,,
78,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,4,256,0.0,18.06,"[0.5809, 0.6467, 0.6693, 0.6981]","[None, None, None, None]",2000,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
79,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,1,64,0.0,4.24,[0.553],[None],2001,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
80,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.59,"[0.6319, 0.636]","[None, None]",2002,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
81,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.4,"[0.6153, 0.6653]","[None, None]",2003,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
82,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.93,"[0.5227, 0.7065, 0.6737]","[None, None, None]",2004,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
83,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.37,"[0.6778, 0.6774]","[None, None]",2005,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
84,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.39,"[0.5867, 0.7171]","[None, None]",2006,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
85,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,4,256,0.0,17.61,"[0.4763, 0.6894, 0.7058, 0.7207]","[None, None, None, None]",2007,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
86,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.43,"[0.6108, 0.6462]","[None, None]",2008,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
87,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.35,"[0.6542, 0.7024]","[None, None]",2009,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
88,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,4,256,0.0,17.53,"[0.5333, 0.6629, 0.6952, 0.702]","[None, None, None, None]",2010,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
89,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,4,256,0.0,17.56,"[0.6476, 0.695, 0.6841, 0.7026]","[None, None, None, None]",2011,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
90,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.83,"[0.6331, 0.623, 0.6678]","[None, None, None]",2012,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
91,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.37,"[0.5623, 0.6089]","[None, None]",2013,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
92,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.89,"[0.5915, 0.7037, 0.7311]","[None, None, None]",2014,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
93,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.84,"[0.6096, 0.6713, 0.6265]","[None, None, None]",2015,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
94,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.86,"[0.5922, 0.6937, 0.6931]","[None, None, None]",2016,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
95,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.92,"[0.5508, 0.7065, 0.6642]","[None, None, None]",2017,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
96,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.83,"[0.6067, 0.5806, 0.6307]","[None, None, None]",2018,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
97,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.36,"[0.6064, 0.6929]","[None, None]",2019,0.1,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
98,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,4,256,0.0,17.75,"[0.5726, 0.6544, 0.6531, 0.6948]","[None, None, None, None]",2000,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
99,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,1,64,0.0,4.21,[0.5494],[None],2001,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
